filename,width,height,class,xmin,ymin,xmax,ymax
0.0_285.jpg,800,600,Green,368,38,455,237
0.0_285.jpg,800,600,Green,758,55,800,250
0.0_285.jpg,800,600,Green,1,22,50,224
100.0_212.jpg,800,600,Green,44,491,61,533
100.0_212.jpg,800,600,Green,127,495,142,534
100.0_212.jpg,800,600,Green,206,497,223,537
105.0_211.jpg,800,600,Green,68,496,84,537
105.0_211.jpg,800,600,Green,146,500,162,538
105.0_211.jpg,800,600,Green,225,502,239,540
105.0_582.jpg,800,600,Green,647,512,665,549
105.0_582.jpg,800,600,Green,725,512,743,550
11.0_283.jpg,800,600,Green,95,205,153,343
11.0_283.jpg,800,600,Green,379,216,436,351
11.0_283.jpg,800,600,Green,653,224,712,362
110.0_581.jpg,800,600,Green,666,517,681,554
110.0_581.jpg,800,600,Green,740,517,757,555
110.0_65.jpg,800,600,Green,116,504,131,541
110.0_65.jpg,800,600,Green,189,506,204,545
110.0_65.jpg,800,600,Green,264,508,280,545
111.0_210.jpg,800,600,Green,102,503,116,541
111.0_210.jpg,800,600,Green,176,504,192,542
111.0_210.jpg,800,600,Green,251,508,266,545
1133.jpg,800,600,Green,25,547,35,567
1133.jpg,800,600,Green,68,548,79,569
1134.jpg,800,600,Green,109,546,118,568
1134.jpg,800,600,Green,153,549,165,571
1135.jpg,800,600,Green,108,545,118,568
1135.jpg,800,600,Green,153,546,162,570
1136.jpg,800,600,Green,100,545,112,567
1136.jpg,800,600,Green,148,546,159,568
1137.jpg,800,600,Green,95,541,106,566
1137.jpg,800,600,Green,143,542,154,565
1138.jpg,800,600,Green,88,540,100,563
1138.jpg,800,600,Green,137,542,150,566
1141.jpg,800,600,Green,70,533,83,561
1141.jpg,800,600,Green,123,538,134,561
1142.jpg,800,600,Green,66,534,78,560
1142.jpg,800,600,Green,117,537,132,561
1143.jpg,800,600,Green,60,530,71,558
1143.jpg,800,600,Green,113,534,125,558
1144.jpg,800,600,Green,54,529,66,557
1144.jpg,800,600,Green,108,532,120,558
115.0_580.jpg,800,600,Green,667,521,684,553
115.0_580.jpg,800,600,Green,738,522,757,555
116.0_209.jpg,800,600,Green,142,506,158,543
116.0_209.jpg,800,600,Green,214,510,230,545
116.0_209.jpg,800,600,Green,287,512,301,547
116.0_64.jpg,800,600,Green,126,509,144,545
116.0_64.jpg,800,600,Green,199,511,213,545
116.0_64.jpg,800,600,Green,269,513,286,547
13.0_599.jpg,800,600,Green,364,253,416,382
13.0_599.jpg,800,600,Green,620,257,674,385
13.0_740.jpg,800,600,Green,216,253,270,379
13.0_740.jpg,800,600,Green,473,254,525,381
13.0_740.jpg,800,600,Green,729,256,785,388
15.0_740.jpg,800,600,Green,22,254,72,378
15.0_740.jpg,800,600,Green,274,262,325,385
15.0_740.jpg,800,600,Green,519,272,570,390
16.0_282.jpg,800,600,Green,123,252,171,376
16.0_282.jpg,800,600,Green,366,262,417,383
16.0_282.jpg,800,600,Green,605,269,658,390
18.0_739.jpg,800,600,Green,230,287,277,400
18.0_739.jpg,800,600,Green,454,288,500,404
18.0_739.jpg,800,600,Green,681,290,730,404
19.0_598.jpg,800,600,Green,336,290,382,404
19.0_598.jpg,800,600,Green,560,291,608,405
198.jpg,800,600,Green,22,547,31,568
198.jpg,800,600,Green,66,548,76,570
199.jpg,800,600,Green,21,544,33,568
199.jpg,800,600,Green,69,545,79,568
199.jpg,800,600,Green,112,547,122,570
2.0_742.jpg,800,600,Green,120,98,192,273
2.0_742.jpg,800,600,Green,474,98,545,277
20.0_739.jpg,800,600,Green,34,304,79,411
20.0_739.jpg,800,600,Green,256,312,301,420
20.0_739.jpg,800,600,Green,476,318,520,423
200.jpg,800,600,Green,51,542,65,567
200.jpg,800,600,Green,100,543,110,568
200.jpg,800,600,Green,145,546,156,571
201.jpg,800,600,Green,73,541,82,565
201.jpg,800,600,Green,120,544,131,567
201.jpg,800,600,Green,167,546,176,567
202.jpg,800,600,Green,76,541,87,565
202.jpg,800,600,Green,123,543,137,566
202.jpg,800,600,Green,173,542,184,568
208.jpg,800,600,Green,54,525,66,554
208.jpg,800,600,Green,111,529,125,558
208.jpg,800,600,Green,169,529,182,558
213.jpg,800,600,Green,8,509,24,544
213.jpg,800,600,Green,78,512,93,547
213.jpg,800,600,Green,146,513,161,548
216.jpg,800,600,Green,1,497,19,537
216.jpg,800,600,Green,79,499,96,537
216.jpg,800,600,Green,154,502,172,539
218.jpg,800,600,Green,101,489,119,530
218.jpg,800,600,Green,186,491,202,533
218.jpg,800,600,Green,267,493,286,535
22.0_281.jpg,800,600,Green,134,312,179,420
22.0_281.jpg,800,600,Green,349,317,392,427
22.0_281.jpg,800,600,Green,562,324,607,431
23.0_738.jpg,800,600,Green,204,331,247,430
23.0_738.jpg,800,600,Green,407,332,448,434
23.0_738.jpg,800,600,Green,612,334,654,434
24.0_597.jpg,800,600,Green,316,337,357,434
24.0_597.jpg,800,600,Green,516,339,558,440
24.0_597.jpg,800,600,Green,720,342,761,442
26.0_738.jpg,800,600,Green,39,321,77,415
26.0_738.jpg,800,600,Green,235,328,280,425
26.0_738.jpg,800,600,Green,437,333,470,428
268.jpg,800,600,Green,47,491,64,531
268.jpg,800,600,Green,131,491,148,534
268.jpg,800,600,Green,212,494,230,537
269.jpg,800,600,Green,39,483,58,527
269.jpg,800,600,Green,128,488,147,530
269.jpg,800,600,Green,214,490,230,533
27.0_280.jpg,800,600,Green,131,337,171,435
27.0_280.jpg,800,600,Green,326,346,367,441
27.0_280.jpg,800,600,Green,516,350,557,446
270.jpg,800,600,Green,45,479,67,523
